;Total;Fintech;Investment
0;192;2;0
1;216;4;0
2;254;2;1
3;318;9;2
4;295;8;8
5;281;4;4
6;277;7;3
7;273;5;4
8;300;9;3
9;352;8;2
10;312;11;4
11;363;4;6
12;272;4;8
13;342;6;10
14;508;9;12
15;520;4;17
16;425;20;5
17;535;24;5
18;627;23;6
19;578;25;4
20;601;26;6
21;641;25;7
22;567;17;7
23;633;21;4
24;464;14;4
25;627;26;11
26;633;22;7
27;634;21;9
28;593;18;8
29;669;13;14
30;626;17;7
31;727;25;7
32;738;33;12
33;713;27;7
34;702;33;6
35;677;24;15
36;527;14;11
37;523;15;10
38;651;31;13
39;553;20;10
40;587;20;15
41;652;25;13
42;620;26;15
43;561;32;14
44;579;31;11
45;797;31;14
46;800;32;13
47;807;37;12
48;587;13;13
49;751;15;9
50;869;26;14
51;968;22;13
52;1063;22;13
53;1174;26;17
54;1052;34;6
55;1043;22;6
56;941;22;12
57;1395;41;10
58;1274;53;10
59;1216;39;8
60;1060;30;2
61;1296;29;7
62;1388;53;16
63;1469;46;14
64;1354;38;7
65;1484;52;12
66;1511;52;7
67;1535;39;9
68;1596;40;8
69;1616;63;9
70;1452;40;6
71;1586;50;10
