;Total;Fintech
0;159;3
1;189;0
2;209;1
3;281;2
4;248;1
5;266;1
6;265;3
7;180;1
8;206;4
9;225;2
10;168;0
11;193;1
12;161;0
13;161;2
14;166;3
15;174;0
16;132;0
17;113;1
18;103;0
19;95;0
20;121;2
21;117;1
22;117;1
23;120;0
24;26;0
25;14;0
26;8;0
27;5;0
28;4;0
29;3;0
30;5;0
31;6;0
32;5;0
33;6;0
34;6;0
35;5;0
36;6;0
37;13;0
38;12;0
39;17;0
40;29;0
41;33;0
42;276;1
43;613;15
44;654;20
45;655;8
46;663;7
47;625;12
48;582;3
49;683;6
50;766;1
51;678;2
52;669;6
53;595;9
54;625;7
55;643;3
56;622;6
57;571;0
58;599;5
59;796;5
60;814;8
61;831;13
62;970;14
63;856;8
64;904;8
65;869;11
66;945;16
67;926;10
68;898;5
69;847;12
70;706;18
71;772;5
